,Rank,Song,Artist
0,1,LOVE YOURSELF,Justin Bieber
1,2,SORRY,Justin Bieber
2,3,ONE DANCE,Drake Featuring WizKid & Kyla
3,4,WORK,Rihanna Featuring Drake
4,5,STRESSED OUT,twenty one pilots
5,6,PANDA,Desiigner
6,7,HELLO,Adele
7,8,DON'T LET ME DOWN,The Chainsmokers Featuring Daya
8,9,CAN'T STOP THE FEELING!,Justin Timberlake
9,10,CLOSER,The Chainsmokers Featuring Halsey
10,11,CHEAP THRILLS,Sia Featuring Sean Paul
11,12,7 YEARS,Lukas Graham
12,13,NEEDED ME,Rihanna
13,14,MY HOUSE,Flo Rida
14,15,I TOOK A PILL IN IBIZA,Mike Posner
15,16,WORK FROM HOME,Fifth Harmony Featuring Ty Dolla $ign
16,17,THIS IS WHAT YOU CAME FOR,Calvin Harris Featuring Rihanna
17,18,CAKE BY THE OCEAN,DNCE
18,19,"ME, MYSELF & I",G-Eazy x Bebe Rexha
19,20,RIDE,twenty one pilots
20,21,HEATHENS,twenty one pilots
21,22,PILLOWTALK,Zayn
22,23,STITCHES,Shawn Mendes
23,24,HOTLINE BLING,Drake
24,25,COLD WATER,Major Lazer Featuring Justin Bieber & MO
25,26,SEND MY LOVE (TO YOUR NEW LOVER),Adele
26,27,ROSES,The Chainsmokers Featuring Rozes
27,28,TREAT YOU BETTER,Shawn Mendes
28,29,TOO GOOD,Drake Featuring Rihanna
29,30,LOW LIFE,Future Featuring The Weeknd
30,31,WHAT DO YOU MEAN?,Justin Bieber
31,32,THE HILLS,The Weeknd
32,33,JUST LIKE FIRE,P!nk
33,34,BROCCOLI,D.R.A.M. Featuring Lil Yachty
34,35,DON'T,Bryson Tiller
35,36,DANGEROUS WOMAN,Ariana Grande
36,37,JUMPMAN,Drake & Future
37,38,I HATE U I LOVE U,gnash Featuring Olivia O'Brien
38,39,HERE,Alessia Cara
39,40,SAME OLD LOVE,Selena Gomez
40,41,CONTROLLA,Drake
41,42,LIKE I'M GONNA LOSE YOU,Meghan Trainor Featuring John Legend
42,43,ONE CALL AWAY,Charlie Puth
43,44,LET IT GO,James Bay
44,45,NO,Meghan Trainor
45,46,NEVER FORGET YOU,Zara Larsson & MNEK
46,47,LET ME LOVE YOU,DJ Snake Featuring Justin Bieber
47,48,DON'T MIND,Kent Jones
48,49,H.O.L.Y.,Florida Georgia Line
49,50,WE DON'T TALK ANYMORE,Charlie Puth Featuring Selena Gomez
50,51,INTO YOU,Ariana Grande
51,52,GOLD,Kiiara
52,53,EXCHANGE,Bryson Tiller
53,54,679,Fetty Wap Featuring Remy Boyz
54,55,OUI,Jeremih
55,56,HANDS TO MYSELF,Selena Gomez
56,57,2 PHONES,Kevin Gates
57,58,STARBOY,The Weeknd Featuring Daft Punk
58,59,FOR FREE,DJ Khaled Featuring Drake
59,60,NEVER BE LIKE YOU,Flume Featuring Kai
60,61,IN THE NIGHT,The Weeknd
61,62,ME TOO,Meghan Trainor
62,63,EX'S & OH'S,Elle King
63,64,DIE A HAPPY MAN,Thomas Rhett
64,65,WHITE IVERSON,Post Malone
65,66,CLOSE,Nick Jonas Featuring Tove Lo
66,67,UNSTEADY,X Ambassadors
67,68,SUCKER FOR PAIN,"Lil Wayne, Wi"
68,69,DOWN IN THE DM,Yo Gotti Featuring Nicki Minaj
69,70,LUV,Tory Lanez
70,71,SORRY,Beyonce
71,72,CAN'T FEEL MY FACE,The Weeknd
72,73,HYMN FOR THE WEEKEND,Coldplay
73,74,SAY IT,Tory Lanez
74,75,ANTIDOTE,Travis Scott
75,76,LOST BOY,Ruth B
76,77,SIDE TO SIDE,Ariana Grande Featuring Nicki Minaj
77,78,"SIT STILL, LOOK PRETTY",Daya
78,79,WILDEST DREAMS,Taylor Swift
79,80,MIDDLE,DJ Snake Featuring Bipolar Sunshine
80,81,ON MY MIND,Ellie Goulding
81,82,POP STYLE,Drake Featuring The Throne
82,83,WHEN WE WERE YOUNG,Adele
83,84,HIDE AWAY,Daya
84,85,LEAN ON,Major Lazer & DJ Snake Featuring MO
85,86,I KNOW WHAT YOU DID LAST SUMMER,Shawn Mendes & Camila Cabello
86,87,ALL THE WAY UP,"Fat Joe, Rem"
87,88,WATCH ME,Silento
88,89,BACK TO SLEEP,Chris Brown
89,90,NO LIMIT,Usher Featuring Young Thug
90,91,CUT IT,O.T. Genasis Featuring Young Dolph
91,92,REALLY REALLY,Kevin Gates
92,93,ALL IN MY HEAD (FLEX),Fifth Harmony Featuring Fetty Wap
93,94,STARVING,Hailee Steinfeld & Grey Featuring Zedd
94,95,ADVENTURE OF A LIFETIME,Coldplay
95,96,HUMBLE AND KIND,Tim McGraw
96,97,WICKED,Future
97,98,TIIMMY TURNER,Desiigner
98,99,SEE YOU AGAIN,Wiz Khalifa Featuring Charlie Puth
99,100,PERFECT,One Direction
